Description	
Number of Runs	750
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	900
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
344	900	1194	1	04/10/25 12:16:53 PM	
345	900	1169	1	04/10/25 12:16:55 PM	
346	900	1211	1	04/10/25 12:16:56 PM	
347	900	1167	1	04/10/25 12:16:57 PM	
348	900	1146	1	04/10/25 12:16:58 PM	
349	900	1157	1	04/10/25 12:16:59 PM	
350	900	1179	1	04/10/25 12:17:00 PM	
351	900	1187	1	04/10/25 12:17:02 PM	
352	900	1164	1	04/10/25 12:17:03 PM	
353	900	1180	1	04/10/25 12:17:04 PM	
354	900	1134	1	04/10/25 12:17:05 PM	
355	900	1163	1	04/10/25 12:17:06 PM	
356	900	1152	1	04/10/25 12:17:08 PM	
357	900	1135	1	04/10/25 12:17:09 PM	
358	900	1168	1	04/10/25 12:17:10 PM	
359	900	1162	1	04/10/25 12:17:11 PM	
360	900	1169	1	04/10/25 12:17:12 PM	
361	900	1177	1	04/10/25 12:17:13 PM	
362	900	1162	1	04/10/25 12:17:15 PM	
363	900	1136	1	04/10/25 12:17:16 PM	
364	900	1152	1	04/10/25 12:17:17 PM	
365	900	1182	1	04/10/25 12:17:18 PM	
366	900	1179	1	04/10/25 12:17:19 PM	
367	900	1189	1	04/10/25 12:17:20 PM	
368	900	1162	1	04/10/25 12:17:22 PM	
369	900	1171	1	04/10/25 12:17:23 PM	
370	900	1146	1	04/10/25 12:17:24 PM	
371	900	1166	1	04/10/25 12:17:25 PM	
372	900	1177	1	04/10/25 12:17:26 PM	
373	900	1143	1	04/10/25 12:17:28 PM	
374	900	1174	1	04/10/25 12:17:29 PM	
375	900	1132	1	04/10/25 12:17:30 PM	
376	900	1148	1	04/10/25 12:17:31 PM	
377	900	1172	1	04/10/25 12:17:32 PM	
378	900	1144	1	04/10/25 12:17:34 PM	
379	900	1169	1	04/10/25 12:17:35 PM	
380	900	1193	1	04/10/25 12:17:36 PM	
381	900	1149	1	04/10/25 12:17:37 PM	
382	900	1194	1	04/10/25 12:17:38 PM	
